,Name,Cuisine_Type,Rating,Review_Count
265,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
266,Patagonia Beef & Wine,"['Steakhouse', 'Argentinean']",4.5,2112
267,Bambarol,"['Mediterranean', 'European']",4.5,889
268,Restaurante Parrilla Alfonsina,"['Steakhouse', 'Latin']",4.5,1590
269,Orvay,"['Mediterranean', 'Spanish']",4.5,239
270,Pasapalo,"['Latin', 'International']",4.5,282
271,Jay's Japanese,['Japanese'],5.0,54
272,ElDiset,"['Mediterranean', 'European']",4.5,977
273,La Pepita,"['Mediterranean', 'European']",4.5,3108
274,Somodo,"['Japanese', 'Mediterranean']",4.5,410
275,Caramba,"['Mediterranean', 'European']",4.5,652
276,La Selva,['Grill'],4.5,1110
277,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
278,Carabela Cafe,"['Mexican', 'Bar']",4.5,511
279,Fonda Espanya Restaurante,"['Mediterranean', 'European']",4.5,1190
280,Bar Rodrigo,"['Bar', 'Seafood']",4.5,1137
281,De Paula L'hamburgueseria del Poble Sec,"['Fast Food', 'Barbecue']",4.5,281
282,Gasterea,"['Mediterranean', 'European']",4.5,621
283,Sushi Yoi,"['Japanese', 'Sushi']",5.0,1
284,Tuscania Food and Wine,"['Italian', 'Mediterranean']",4.5,715
285,Pizza Circus,"['Italian', 'Pizza']",4.5,719
286,La Fabrica (Empanadas Argentinas),"['Latin', 'Fast Food']",4.5,327
287,Restaurante Fukamura,"['Japanese', 'Sushi']",4.5,306
288,Mo Te Magno,"['Italian', 'Pizza']",4.5,427
289,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
290,Gatblau Restaurant,"['Healthy', 'Mediterranean']",4.5,321
291,Onofre,"['Mediterranean', 'European']",4.5,314
292,aQistoi,"['Mediterranean', 'Spanish']",4.5,920
293,L'Antic Bocoi del Gotic,"['Mediterranean', 'European']",4.5,1015
294,Story,"['Bar', 'Mediterranean']",4.5,288
295,YUBI Barcelona,"['French', 'Japanese']",4.0,15
